date,tweet,username,likes,retweets,source
2024-10-24,"Estou amando meu HB20 Platinum Plus! O carro é completo e o pacote de assistentes de direção (ADAS) faz toda a diferença na estrada. #HB20Platinum #Tecnologia",amoMeuCarro,150,20,"Twitter Web App"
2024-10-24,"Meu Onix já está com 50k km e NUNCA deu um problema. Carro robusto e confiável para o dia a dia. #OnixGuerreiro #Confiança",kmRodados,95,12,"iOS"
2024-10-23,"Achei o câmbio automático do HB20 meio 'lento' nas trocas. Poderia ser mais responsivo, especialmente nas retomadas. #CâmbioHB20 #Detalhe",exigenteAuto,7,0,"Twitter for Android"
2024-10-23,"O Onix tem um excelente porta-malas para a categoria. Me atende perfeitamente para viagens de fim de semana. #OnixPlus #PortaMalas",viagensFelizes,40,7,"Twitter Web App"
2024-10-22,"A garantia de 5 anos da Hyundai no HB20 é um diferencial GIGANTE. Paz de espírito por muito tempo. #Hyundai #Garantia",pazEtranquilidade,130,15,"iOS"
2024-10-22,"O pós-venda da Chevrolet é PÉSSIMO. Levei o Onix para revisão e demoraram uma semana para liberar. Não recomendo. @ReclameAqui #PósVendaRuim",nuncaMaisGM,10,25,"Twitter for Android"
2024-10-21,"O design traseiro do HB20 novo ainda me choca. Não consegui me acostumar com aquelas lanternas. Prefiro a linha antiga. 🤮 #HB20Design #Opinião",esteticaAutomotiva,3,2,"Twitter Web App"
2024-10-21,"O Onix é o carro mais vendido por um motivo: entrega tudo o que promete em custo-benefício. Melhor escolha do mercado. #OnixLíder #CustoBenefício",oMelhorDoBrasil,180,30,"iOS"
2024-10-20,"O painel do Onix é muito simples, parece carro de locadora. A GM economizou demais nesse ponto. #OnixSimples #Interior",luxoOuNada,14,3,"Twitter for Android"
2024-10-20,"Meu HB20 tem um problema crônico no sensor de estacionamento que fica apitando sozinho. Já troquei duas vezes na garantia. #HB20Defeito #ReclameAqui",defeitosCronicos,8,18,"Twitter Web App"
2024-10-19,"Testei o Onix e o HB20. O Onix é mais confortável na suspensão, absorve melhor os impactos da rua. Fiquei com ele! #EscolhiOnix #Conforto",testeDrive,65,10,"iOS"
2024-10-19,"O motor turbo do HB20 é realmente forte. Ultrapassagens seguras e aceleração rápida. Me surpreendeu positivamente. #HB20Turbo #Potência",velocidadeSegura,105,14,"Twitter for Android"
2024-10-18,"Estou quase fechando no HB20, mas a revenda é pior que o Onix. Fico com medo de perder muito dinheiro na troca futura. #Revenda #MercadoAuto",preocupadoComAPerda,12,2,"Twitter Web App"
2024-10-18,"A tela da multimídia do Onix é ótima para espelhamento. Uso muito Waze e Spotify, funciona sem falhas. 📱 #OnixTecnologia #Multimídia",usuárioDigital,70,8,"iOS"
2024-10-17,"Que carro horrível! O Onix não tem visibilidade traseira, parece que estou dirigindo um tanque. Ponto cego gigante. #OnixPontoCego #Dirigibilidade",visãoRuim,4,19,"Twitter for Android"
2024-10-17,"Achei a calibração do pedal do freio do HB20 um pouco 'esponjosa'. Não passa tanta confiança quanto o Onix. #Freio #SegurançaPercebida",detalhistaFreio,6,1,"Twitter Web App"
2024-10-16,"O meu Onix Plus é muito econômico na estrada. Já fiz mais de 16km/l com gasolina! Excelente para quem viaja. ⛽️ #OnixPlusEconomia #Viagem",economiaTotal,110,18,"iOS"
2024-10-16,"A concessionária Hyundai me deu um atendimento excelente. O processo de compra do HB20 foi rápido e sem estresse. #AtendimentoHyundai #Elogio",bomAtendimento,55,5,"Twitter for Android"
2024-10-15,"O motor do Onix faz um barulho estranho quando ligo de manhã. Passa a sensação de carro mal ajustado. #OnixBarulho #Mecânica",motorFrio,9,2,"Twitter Web App"
2024-10-15,"O sistema Bluelink do HB20 (conectividade) é muito útil para rastreamento e diagnóstico. É um diferencial que vale o preço. #Bluelink #Serviços",tecnologiaConectada,85,10,"iOS"
2024-10-14,"Estou vendendo meu HB20. Carro bom, mas cansei do visual. Indo para o Onix só pela mudança de ares. #TrocaDeCarro #Neutralidade",mudançaDeAres,5,0,"Twitter for Android"
2024-10-14,"O volante do Onix descasca muito rápido. Material de baixa qualidade. A GM precisa melhorar isso urgentemente. 👎 #OnixDefeitoEstético #Qualidade",criticaMaterial,10,12,"Twitter Web App"
2024-10-13,"Melhor que o HB20, só o HB20. Não troco meu Hyundai por nada. Conforto, economia e garantia! 💙 #TeamHB20 #Fidelidade",fãHyundai,160,28,"iOS"
2024-10-13,"A iluminação interna do Onix é pobre, especialmente no painel. À noite, sinto falta de um toque mais premium. #OnixInterior #Iluminação",detalheLuminoso,6,1,"Twitter for Android"
2024-10-12,"O Onix tem um design externo mais conservador, mas bonito. O HB20 é mais ousado. Questão de gosto. #DesignComparativo #OpiniãoNeutr",gostoPessoal,17,2,"Twitter Web App"
2024-10-12,"Pintura do HB20 é muito frágil. Qualquer pedrinha na estrada já faz um chip. Tem que ter muito cuidado. 🤬 #HB20Pintura #Frágil",cuidadoComAPintura,10,9,"iOS"
2024-10-11,"O meu Onix novo deu problema na bomba de combustível com 15.000 km. Tive que guinchar. Que dor de cabeça! #OnixQuebrou #Emergência",péssimaExperiência,3,20,"Twitter for Android"
2024-10-11,"Excelente! O HB20 tem um ótimo desempenho do ar-condicionado, gela muito rápido. Essencial no nordeste. 🥶 #HB20Conforto #ArCondicionado",calorNoNordeste,75,10,"Twitter Web App"
2024-10-10,"O Onix é o carro ideal para quem busca o primeiro 0km. Confiável, popular e peças baratas. #PrimeiroCarro #Recomendação",dicaAutomotiva,100,16,"iOS"
2024-10-10,"Achei a ergonomia do HB20 melhor que a do Onix, os comandos ficam mais à mão. Direção mais precisa. #Ergonomia #HB20",confortoAoDirigir,42,5,"Twitter for Android"
2024-10-09,"Estou pensando em pegar um HB20 usado, mas tenho receio da desvalorização na revenda comparado ao Onix. #DúvidaRevenda #Negócio",cálculoFinanceiro,15,3,"Twitter Web App"
2024-10-09,"O sistema de som do Onix é surpreendente para um carro popular. Qualidade muito boa! 🎶 #OnixSom #Áudio",melodiaNoCarro,50,6,"iOS"
2024-10-08,"O ruído interno do Onix em alta velocidade é irritante. O isolamento acústico deixa a desejar. 😡 #OnixRuído #Isolamento",silêncioPorFavor,8,14,"Twitter for Android"
2024-10-08,"O HB20 é o carro mais bonito da categoria, não tem discussão. Visual moderno e agressivo. #HB20Estilo #Lindo",paixãoPeloDesign,99,13,"Twitter Web App"
2024-10-07,"Sinceramente, tanto o HB20 quanto o Onix são ótimos carros. A disputa é acirrada. Não tem erro em escolher qualquer um. #Empate #Compactos",equilíbrioTotal,25,3,"iOS"
2024-10-07,"O motor 1.0 aspirado do Onix é fraco, pena que o turbo custa muito mais. Queria mais potência na versão de entrada. #OnixAspirado #Fraco",queroPotencia,7,8,"Twitter for Android"
2024-10-06,"Adorei os bancos do HB20! Muito confortáveis para longas viagens. A Hyundai acertou na ergonomia. #HB20Viagem #Assentos",viagemConfortável,58,9,"Twitter Web App"
2024-10-06,"O meu Onix já está com 50k km e NUNCA deu um problema. Carro robusto e confiável para o dia a dia. #OnixGuerreiro #Confiança",kmRodados,95,12,"iOS"
2024-10-05,"A GM melhorou muito a segurança do Onix. É o ponto mais forte e o que me fez comprar. #OnixTop #SegurançaMáxima",prioridadeSegurança,140,21,"Twitter for Android"
2024-10-05,"Achei o pós-venda da Hyundai excelente, sempre atenciosos nas revisões do meu HB20. #ServiçoDeQualidade #Elogio",serviço5Estrelas,62,7,"Twitter Web App"
2024-10-04,"Para mim, o Onix é o carro do povo. Peças fáceis de achar e qualquer mecânico sabe mexer. Praticidade. #OnixPopular #FácilManutenção",praticidadeMecânica,80,10,"iOS"
2024-10-04,"O cheiro de plástico dentro do HB20 novo demorou meses para sair. Foi um incômodo no início. #HB20Cheiro #Novo",cheiroDeNovo,4,1,"Twitter for Android"
2024-10-03,"O Onix tem um ótimo ajuste de profundidade e altura do volante. Achar a posição de dirigir é fácil. #OnixErgonomia #Ajuste",posiçãoIdeal,38,5,"Twitter Web App"
2024-10-03,"Estou decepcionado com a concessionária Hyundai. Tentaram me empurrar serviços caros na revisão do HB20. 💸 #ConcessionáriaRuim #Crítica",vendaCasada,15,10,"iOS"
2024-10-02,"O Onix hatch é muito ágil no trânsito urbano, o tamanho é perfeito para manobrar em vagas pequenas. #OnixAgilidade #Urbano",mestreDaManobra,48,6,"Twitter for Android"
2024-10-02,"A pintura do Onix é mais resistente a riscos que a do HB20, que eu tive antes. Percebi a diferença. #OnixPintura #Resistência",durabilidade,22,4,"Twitter Web App"
2024-10-01,"A central multimídia do HB20 é simples e funcional. Sem frescura, mas cumpre o que promete. #HB20Funcional #Multimídia",simplesEficaz,30,3,"iOS"
2024-10-01,"Não compraria o HB20 só por causa daquele farol dianteiro polêmico. Estragou a frente do carro. #HB20Visual #NãoGostei",gostoVisual,7,2,"Twitter for Android"
2024-09-30,"O Onix Plus é o melhor sedã compacto do mercado, sem dúvidas. Motor turbo e espaço. #OnixPlus #MelhorSedã",melhorDoSegmento,115,18,"Twitter Web App"
2024-09-30,"O HB20 surpreendeu no consumo de estrada. Consegui médias melhores que as prometidas pelo Inmetro. #HB20Consumo #SurpresaBoa",recordeDeConsumo,80,11,"iOS"
2024-09-29,"O painel do Onix me parece mais elegante que o do HB20. Gosto mais do estilo da Chevrolet. #OnixInterior #Elegância",preferênciaEstética,19,4,"Twitter for Android"
2024-09-29,"A suspensão do HB20 é muito dura, transfere demais as imperfeições para a cabine. Desconfortável. 😩 #HB20Suspensão #Dura",semConforto,12,7,"Twitter Web App"
2024-09-28,"Comprei o Onix na promoção, ótimo custo-benefício. Não me arrependo, carro honesto. #OnixPromoção #BomNegócio",compraInteligente,55,8,"iOS"
2024-09-28,"O sensor de ponto cego do HB20 Platinum é um item de segurança que todos os carros deveriam ter. Essencial! #HB20Segurança #PontoCego",segurançaCompleta,105,17,"Twitter for Android"
2024-09-27,"O câmbio manual do Onix tem engates muito macios e precisos. Excelente para quem não gosta de automático. #OnixManual #Câmbio",prazerEmDirigir,35,4,"Twitter Web App"
2024-09-27,"O meu HB20 está vazando óleo na junta do cárter. Carro novo com esse tipo de problema. Lamentável. 😤 #HB20Vazamento #Defeito",carroComVazamento,5,15,"iOS"
2024-09-26,"Tanto o Onix quanto o HB20 são opções seguras. O preço decide. #DecisãoDeCompra #Preço",decisãoFinanceira,10,1,"Twitter for Android"
2024-09-26,"Achei o motor 1.0 turbo do Onix mais silencioso que o do HB20. O isolamento acústico dele é superior. #OnixSilencioso #Motor",confortoAcústico,28,5,"Twitter Web App"
2024-09-25,"O design do novo Onix ficou mais robusto e menos 'popular'. Gosto muito do visual. #OnixDesign #VisualAprovado",modernidade,45,6,"iOS"
2024-09-25,"O HB20 é um carro muito bom, mas o preço subiu DEMAIS ultimamente. Está ficando inviável para a categoria. 💰 #HB20Preço #Caro",inflaçãoAuto,16,11,"Twitter for Android"
2024-09-24,"O Onix tem um excelente consumo urbano com etanol. A GM acertou na calibração do motor. #OnixEtanol #Eficiência",melhorEtanol,52,7,"Twitter Web App"
2024-09-24,"Achei o porta-malas do HB20 maior que o do Onix, o que é um ponto positivo para quem viaja. #HB20PortaMalas #Capacidade",maisEspaço,20,3,"iOS"
2024-09-23,"A assistência da Hyundai me deixou na mão. O carro quebrou na estrada e demoraram 5 horas para o guincho. 🤬 #AssistênciaRuim #Reclamação",abandono,6,18,"Twitter for Android"
2024-09-23,"O Onix é mais bonito, ponto final. O HB20 tem um visual estranho. #OpiniãoPessoal #Design",gostoPessoal,14,2,"Twitter Web App"
2024-09-22,"O motor turbo do HB20 tem um desempenho em alta rotação muito superior ao Onix. Mais esportivo. #HB20Performance #Turbo",esportividade,88,14,"iOS"
2024-09-22,"Meu Onix já está com a multimídia travando e a câmera de ré parando de funcionar. Problemas elétricos. #OnixFalhaElétrica #Bug",falhasTecnológicas,7,16,"Twitter for Android"
2024-09-21,"O HB20 tem um preço de revisão mais competitivo que o Onix. Isso ajuda muito no orçamento. #HB20Revisão #Econômica",revisãoAcessível,33,4,"Twitter Web App"
2024-09-21,"O Onix é o carro mais racional da categoria. Fácil de vender, econômico e seguro. #OnixRacional #EscolhaLógica",racionalidade,50,9,"iOS"
2024-09-20,"O plástico do HB20 risca muito fácil. Acabamento deveria ser mais resistente ao uso diário. #HB20Qualidade #Plástico",poucaDurabilidade,9,5,"Twitter for Android"
2024-09-20,"Achei a altura do solo do Onix um pouco baixa, raspa em qualquer lombada mais alta. 😔 #OnixAltura #Lombada",carroBaixo,4,10,"Twitter Web App"
2024-09-19,"O Onix tem mais equipamentos de série que o HB20 nas versões equivalentes. Ele é mais recheado. #OnixCompleto #ItensDeSérie",cheiodeCoisas,65,11,"iOS"
2024-09-19,"A central multimídia do HB20 perde a conexão com o Android Auto constantemente. Falha irritante. 😠 #HB20Multimídia #BugConexão",conexãoFracassada,11,17,"Twitter for Android"
2024-09-18,"O HB20 é o único que oferece garantia de 5 anos. Isso é o que me convenceu. #HyundaiGarantia #Tranquilidade",5anos,75,12,"Twitter Web App"
2024-09-18,"O motor do Onix é confiável e tem boa performance para a proposta. Não é um esportivo, mas não decepciona. #OnixMotor #Equilibrado",performanceHonesta,40,6,"iOS"
2024-09-17,"Estou com dificuldade de encontrar peças de reposição para o meu Onix. As concessionárias não têm. #OnixPeças #Falta",estoqueVazio,5,15,"Twitter for Android"
2024-09-17,"O design do Onix é mais discreto e menos chamativo que o HB20. Prefiro assim. #OnixDiscreto #Estilo",preferênciaDiscreta,20,3,"Twitter Web App"
2024-09-16,"O câmbio automático do HB20 é muito suave nas trocas, mal dá para sentir. Ótimo conforto. #HB20Câmbio #Suave",suavidadeAoDirigir,60,9,"iOS"
2024-09-16,"Meu HB20 falha ao dar a partida em dias frios. Tem que tentar várias vezes. Preocupante. 🥶 #HB20Falha #Partida",problemaNoFrio,8,13,"Twitter for Android"
2024-09-15,"O Onix é o carro com melhor custo-benefício para quem busca segurança e tecnologia de entrada. #OnixCustoBenefício #Recomendação",valeAPena,100,16,"Twitter Web App"
2024-09-15,"A concessionária me deu um desconto enorme no HB20. O preço final ficou imbatível. #HB20Desconto #Oportunidade",promoçãoQuente,55,7,"iOS"
2024-09-14,"Estou vendendo meu Onix, mas não tenho reclamações. Apenas quero um carro maior. #Venda #Upgrade",neutro,10,1,"Twitter for Android"
2024-09-14,"O isolamento acústico do HB20 melhorou muito na nova geração. Está bem mais silencioso na estrada. #HB20Isolamento #Melhoria",silêncioNaCabine,35,4,"Twitter Web App"
2024-09-13,"O ar-condicionado do Onix é muito eficiente e gela rápido, mesmo no sol forte. #OnixConforto #AC",geloRápido,70,10,"iOS"
2024-09-13,"O painel de instrumentos do HB20 é confuso e a leitura dos mostradores é difícil. #HB20Painel #Confuso",designComplicado,5,11,"Twitter for Android"
2024-09-12,"O Onix tem um motor turbo mais fraco que o HB20, mas o carro é mais leve e compensa. Desempenho semelhante na prática. #OnixVsHB20 #Comparativo",desempenhoSimilar,45,6,"Twitter Web App"
2024-09-12,"O HB20 é a escolha mais elegante e com melhor acabamento interno, mesmo com plásticos. #HB20Acabamento #Elegância",toqueSofisticado,25,3,"iOS"
2024-09-11,"Minha lanterna traseira do Onix vive entrando água. Problema de vedação crônico. 💦 #OnixVedação #Infiltração",águaNoCarro,4,14,"Twitter for Android"
2024-09-11,"O Onix tem um pós-venda que melhorou muito. Fui bem atendido na última revisão. #PósVendaAprovado #Melhora",serviçoMelhor,30,5,"Twitter Web App"
2024-09-10,"O HB20 é mais ágil nas saídas, o motor responde muito rápido em baixa rotação. #HB20Agilidade #RespostaRápida",arrancadaForte,50,7,"iOS"
2024-09-10,"A central multimídia do meu Onix travou e o sistema MyLink não funciona mais. Tenho que levar na garantia. 😩 #OnixMyLink #Falha",problemaMultimídia,6,16,"Twitter for Android"
2024-09-09,"A Hyundai oferece 5 anos de garantia no HB20, a GM 3 anos no Onix. Ponto para o HB20. #Garantia #Foco",maisGarantia,80,12,"Twitter Web App"
2024-09-09,"O Onix é o carro mais vendido e isso facilita a revenda e a liquidez. Escolha lógica. #OnixLiquidez #VendaFácil",mercadoFácil,65,10,"iOS"
2024-09-08,"A suspensão do HB20 é firme e dá segurança em alta velocidade. Bom acerto. #HB20Estabilidade #Firmeza",seguroNaCurva,40,5,"Twitter for Android"
2024-09-08,"O Onix me decepcionou no consumo urbano. Está fazendo 8km/l no etanol, muito abaixo do prometido. #OnixConsumo #Alto",beberrão,7,13,"Twitter Web App"
2024-09-07,"O design do HB20 novo ficou muito mais bonito que o antigo. Arrasaram! 😍 #HB20Beleza #Aprovação",visualNovo,95,15,"iOS"
2024-09-07,"O HB20 e o Onix são equivalentes. Não tem grande diferença que justifique um ser 'melhor'. Ambos bons. #EmpateTécnico #Equivalentes",similares,20,3,"Twitter for Android"
2024-09-06,"O Onix tem um ótimo ajuste de altura do banco do motorista. Consigo achar uma posição alta e confortável. #OnixConforto #AjusteDeBanco",posiçãoAlta,48,6,"Twitter Web App"
2024-09-06,"O meu HB20 está com um barulho de estalo no painel quando passa em buracos. Barulho chato. 😠 #HB20RuídoInterno #Estalo",ruídoNoPainel,6,12,"iOS"
2024-09-05,"A central multimídia do Onix é a melhor da categoria, com internet nativa. Ninguém tem igual. #OnixInovação #Internet",conectividadeMáxima,88,14,"Twitter for Android"
2024-09-05,"O motor 1.0 turbo do HB20 é o mais potente do segmento. Dá gosto de dirigir! 🚀 #HB20Potente #Turbo",melhorMotor,110,18,"Twitter Web App"
2024-09-04,"O Onix tem um consumo excelente na estrada, mas na cidade é um beberrão. #OnixConsumoMisto #Avaliação",consumoEstranho,9,1,"iOS"
2024-09-04,"Não compraria o HB20 por causa do custo de seguro. É muito visado para roubo. 😩 #HB20Seguro #CustoAlto",seguroCaro,14,10,"Twitter for Android"
2024-09-03,"O Onix é um carro honesto, mas não tem o mesmo 'brilho' do HB20 em acabamento. É mais funcional. #OnixHonesto #Funcional",simplesMasBom,33,4,"Twitter Web App"
2024-09-03,"Os 6 airbags do Onix me dão muito mais segurança que o HB20 (que só tinha 4 em algumas versões). #OnixSegurança #Airbags",maisAirbags,70,11,"iOS"
2024-09-02,"A direção do HB20 é muito leve, facilita a vida na hora de estacionar. #HB20Direção #Leveza",fácilDeEstacionar,45,6,"Twitter for Android"
2024-09-02,"Meu Onix está com o pedal da embreagem muito baixo, difícil de trocar as marchas. Defeito chato. #OnixEmbreagem #Baixa",câmbioDuro,5,15,"Twitter Web App"
2024-09-01,"A Hyundai acertou em cheio no novo HB20, visual e motor. Top de linha. #HB20Sucesso #Top",acertoDaHyundai,90,14,"iOS"
2024-09-01,"O Onix é o carro da minha vida! Nunca me deu problemas, só alegrias. 🥰 #OnixAmado #Felicidade",amorAoCarro,120,20,"Twitter for Android"
2024-08-31,"Tinha HB20, troquei por Onix e senti uma diferença GIGANTE no espaço interno. Onix é muito maior. #OnixEspaço #Conforto",espacoExtra,55,8,"Twitter Web App"
2024-08-31,"Achei o design do HB20 esquisito, mas o motor turbo entrega muito. É um dilema. #HB20Dilema #Opinião",motorBomDesignRuim,12,2,"iOS"
2024-08-30,"Melhor carro compacto turbo do Brasil: Onix ou HB20? A briga é boa, mas o Onix tem mais equipamentos. #Comparativo #Carros",debateAuto,30,5,"Twitter for Android"
2024-08-30,"O Onix é mais econômico na cidade, o HB20 na estrada. Depende do seu uso. Informação útil! #ConsumoReal #Dica",consumoReal,42,6,"Twitter Web App"
2024-08-29,"Revisão do HB20: preço justo e atendimento rápido. Hyundai sempre surpreende positivamente. #HB20Revisão #Elogio",revisaoJusta,70,10,"iOS"
2024-08-29,"Meu Onix está com a luz da injeção acesa. Problema no motor turbo que está me dando dor de cabeça. @GM #OnixProblema #Injeção",luzAcesa,4,18,"Twitter for Android"
2024-08-28,"O acabamento do HB20 Platinum é superior ao Onix Premier. Plástico com toque mais refinado. #HB20Premium #Acabamento",detalheAcabamento,25,3,"Twitter Web App"
2024-08-28,"O porta-malas do Onix Plus é muito pequeno para um sedã. Propaganda enganosa! #OnixPlus #PortaMalasPequeno",portaMalaPequeno,7,10,"iOS"
2024-08-27,"O HB20 é mais rápido no 0 a 100km/h que o Onix. Performance é tudo! #HB20Velocidade #Performance",velocidadeMáxima,60,9,"Twitter for Android"
2024-08-27,"Achei a suspensão do Onix mais macia e ideal para o asfalto ruim. #OnixConforto #Suspensão",maciez,48,7,"Twitter Web App"
2024-08-26,"Troquei um HB20 pelo Onix e sinto falta da garantia de 5 anos. Agora só 3 anos. #Garantia #Arrependido",faltaGarantia,10,1,"iOS"
2024-08-26,"Estou vendendo meu Onix, quem se interessa? Carro em ótimo estado. #VendaOnix #Oportunidade",vendaNeutro,3,0,"Twitter for Android"
2024-08-25,"O sistema Bluelink do HB20 é caro e não vale a pena. Raramente uso. #Bluelink #NãoRecomendo",custoBeneficioZero,5,15,"Twitter Web App"
2024-08-25,"O Onix tem um painel bem legível, fácil de ver as informações. Ponto para a funcionalidade. #OnixPainel #Legibilidade",funcionalidade,35,4,"iOS"
2024-08-24,"O motor do HB20 faz muito barulho quando acelero forte. Parece que vai quebrar. #HB20Ruído #Motor",barulhoAlto,9,11,"Twitter for Android"
2024-08-24,"Meu Onix teve que trocar a bateria em menos de 2 anos. Qualidade questionável. #OnixBateria #Defeito",bateriaRuim,6,10,"Twitter Web App"
2024-08-23,"Comprei o Onix por ser popular, não o melhor, mas o mais fácil de manter. #OnixPopularidade #Racional",escolhaSegura,50,8,"iOS"
2024-08-23,"O HB20 me surpreendeu no espaço interno, achei que era menor. Cabe a família toda! #HB20Espaço #Família",espacoBom,30,5,"Twitter for Android"
2024-08-22,"O design do Onix é mais atemporal, o do HB20 envelhece mais rápido. #DesignDuradouro #Onix",atemporal,15,2,"Twitter Web App"
2024-08-22,"A central multimídia do HB20 é péssima. Lentidão e bugs constantes. A GM é melhor nisso. #HB20Multimídia #Lenta",multimidiaLenta,8,16,"iOS"
2024-08-21,"O Onix é um carro fantástico, superou minhas expectativas. Motor turbo top! #OnixFantástico #Superou",expectativasSuperadas,75,11,"Twitter for Android"
2024-08-21,"O atendimento da Hyundai me irrita, tentam vender o tempo todo. #HyundaiVendas #Incomodo",vendaForçada,5,12,"Twitter Web App"
2024-08-20,"Se for para escolher, vá de Onix. Mais seguro e a revenda é certa. #OnixMelhor #Dica",melhorOpcao,40,6,"iOS"
2024-08-20,"A cor que escolhi para o meu HB20 (verde) ficou incrível! A Hyundai tem cores mais vivas. #HB20Cores #Visual",coresVibrantes,33,4,"Twitter for Android"
...
(Mais 1140 linhas de dados simulados com ruído e variação de opinião)
...
2024-01-01,"A GM finalmente acertou no Onix. Se a Hyundai não melhorar, o HB20 vai perder o posto de vez. A briga vai ser boa! #OnixVsHB20 #Batalha",analiseDeMercado,15,3,"Twitter Web App"
2024-01-01,"HB20: carro guerreiro, nunca me deixou na mão. Mesmo com as críticas ao design, o motor 1.0 é um tanque. #HB20Guerreiro #Confiável",fielAoHB20,40,5,"iOS"
2024-01-01,"O Onix é o melhor carro nacional, ponto. Desempenho, economia e segurança. A concorrência chora. #OnixNacional #Melhor",orgulhoGM,90,12,"Twitter for Android"
